study,group,name,graft,n,age_mean,age_sd,female,bmi_mean,bmi_sd,tegner,age_other,bmi_note,group_indep,group_indep_notes,timepoint_combo,combination_notes
Marigi 2022,1,No SACL,mixed,285,26.5,10.9,127,NA,NA,NA,NA,NA,1,NA,1,NA
Marigi 2022,2,SACL,mixed,59,24.1,9.6,30,NA,NA,NA,NA,NA,1,NA,1,NA
Czamara 2010b,1,ACLR,HS - ST/G,54,25.5,8.3,0,NA,NA,NA,NA,NA,1,NA,0,NA
Czamara 2010b,2,Healthy Control,"NA",54,24.4,5.1,0,NA,NA,NA,NA,NA,1,NA,0,NA
Kim 2019,1,Group A,BPTB,83,29.9,10,16,NA,NA,6.3,NA,NA,1,NA,1,NA
Kim 2019,2,Group B,BPTB,38,32.2,11.2,8,NA,NA,6.3,NA,NA,1,NA,1,NA
Kim 2019,3,Group C,BPTB,35,31.7,9.5,4,NA,NA,6.5,NA,NA,1,NA,1,NA
Kim 2019,4,Group D,BPTB,29,29.1,12,4,NA,NA,6.5,NA,NA,1,NA,1,NA
Krych 2015,1,FNB,BPTB,96,21.2,7.4,35,NA,NA,NA,NA,NA,1,NA,1,NA
Krych 2015,2,Control,BPTB,100,20.2,5.9,65,NA,NA,NA,NA,NA,1,NA,1,NA
Tajima 2020,1,BPTB-G,BPTB-G,32,22.7,8.9,2,28.4,5.6,NA,NA,NA,1,NA,1,NA
Tajima 2020,2,ST-G,HS - ST/G,43,24.8,7.3,3,23.5,2.8,NA,NA,NA,1,NA,1,NA
Ageberg 2016,1,Training Only,ACLD,18,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,NA
Goetschius 2019,1,Non-BTPB,mixed,25,21.7,3.4,19,NA,NA,NA,NA,NA,1,NA,1,exclude controls from combo
Goetschius 2019,2,BTB,BPTB,26,24.1,5.4,18,NA,NA,NA,NA,NA,1,NA,1,exclude controls from combo
Goetschius 2019,3,Healthy Control,"NA",21,22.2,3.1,13,NA,NA,NA,NA,NA,1,NA,1,exclude controls from combo
Beretta-Piccoli 2016,1,Healthy Control,"NA",19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Beretta-Piccoli 2016,2,R12,HS,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Beretta-Piccoli 2016,3,R24,HS,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Bjornsson 2016,1,PT,BPTB,61,28.2,9.1,19,NA,NA,NA,NA,NA,1,NA,1,NA
Bjornsson 2016,2,HT,HS,86,26.8,7.6,33,NA,NA,NA,NA,NA,1,NA,1,NA
Rhatomy 2019,1,Group 1,Peroneus Longus,31,27.58,8.69,9,NA,NA,NA,NA,NA,NA,NA,0,NA
Pietrosimone 2016,1,Group 1,mixed,96,21.7,3.85,62,NA,NA,NA,NA,NA,NA,NA,0,NA
